,State,Status
0,Alabama,Guessed
1,Alaska,Guessed
2,Arizona,Guessed
3,Arkansas,Guessed
4,California,Guessed
5,Colorado,Guessed
6,Connecticut,Guessed
7,Delaware,Guessed
8,Florida,Guessed
9,Georgia,Guessed
10,Hawaii,Guessed
11,Idaho,Guessed
12,Illinois,Guessed
13,Indiana,Guessed
14,Iowa,Guessed
15,Kansas,Guessed
16,Kentucky,Guessed
17,Louisiana,Guessed
18,Maine,Guessed
19,Maryland,Guessed
20,Massachusetts,Guessed
21,Michigan,Guessed
22,Minnesota,Guessed
23,Mississippi,Guessed
24,Missouri,Guessed
25,Montana,Guessed
26,Nebraska,Guessed
27,Nevada,Guessed
28,New Hampshire,Guessed
29,New Jersey,Guessed
30,New Mexico,Guessed
31,New York,Guessed
32,North Carolina,Guessed
33,North Dakota,Guessed
34,Ohio,Guessed
35,Oklahoma,Guessed
36,Oregon,Guessed
37,Pennsylvania,Guessed
38,Rhode Island,Guessed
39,South Carolina,Guessed
40,South Dakota,Guessed
41,Tennessee,Guessed
42,Texas,Guessed
43,Utah,Guessed
44,Vermont,Guessed
45,Virginia,Guessed
46,Washington,Guessed
47,West Virginia,Guessed
48,Wisconsin,Guessed
49,Wyoming,Guessed
